2025-04-03 04:17:47.225986: Starting overnight training with the following parameters:
2025-04-03 04:17:47.225986: Total timesteps: 2000000
2025-04-03 04:17:47.226987: Learning rate: 0.0003
2025-04-03 04:17:47.226987: Batch size: 512
2025-04-03 04:17:47.227987: Buffer size: 200000
2025-04-03 04:17:47.227987: Exploration noise: 0.3
2025-04-03 04:17:47.228988: Models directory: ./ddpg_models/20250403_041747/
2025-04-03 04:17:47.228988: Log directory: ./ddpg_pyrace_tensorboard/20250403_041747/
2025-04-03 04:17:47.228988: Visualization enabled: True
2025-04-03 04:17:47.272002: Set view=True on RaceEnv
2025-04-03 04:17:48.148299: Loading checkpoint ./ddpg_models/ddpg_pyrace_v3_final.zip to continue training
2025-04-03 04:17:48.166305: 
Starting overnight training...
2025-04-03 04:17:48.166305: Visualization enabled. Press 'm' to toggle visualization mode, 'q' to quit.
2025-04-03 04:17:48.218323: Could not find PyRace2D object directly
2025-04-03 04:18:23.865917: Steps: 1000/2000000, FPS: 27.3, Time remaining: 20h 19m 11s
2025-04-03 04:19:09.712833: Steps: 2000/2000000, FPS: 24.3, Time remaining: 22h 52m 38s
2025-04-03 04:19:54.193842: Steps: 3000/2000000, FPS: 23.6, Time remaining: 23h 28m 7s
2025-04-03 04:20:38.696279: Steps: 4000/2000000, FPS: 23.3, Time remaining: 23h 45m 40s
2025-04-03 04:21:23.133191: Steps: 5000/2000000, FPS: 23.2, Time remaining: 23h 55m 28s
2025-04-03 04:22:07.641209: Steps: 6000/2000000, FPS: 23.0, Time remaining: 24h 2m 9s
2025-04-03 04:22:52.070611: Steps: 7000/2000000, FPS: 23.0, Time remaining: 24h 6m 20s
2025-04-03 04:23:36.505521: Steps: 8000/2000000, FPS: 22.9, Time remaining: 24h 9m 19s
2025-04-03 04:24:21.074577: Steps: 9000/2000000, FPS: 22.9, Time remaining: 24h 11m 57s
2025-04-03 04:25:05.497986: Steps: 10000/2000000, FPS: 22.8, Time remaining: 24h 13m 26s
2025-04-03 04:25:49.972927: Steps: 11000/2000000, FPS: 22.8, Time remaining: 24h 14m 41s
2025-04-03 04:26:34.538466: Steps: 12000/2000000, FPS: 22.8, Time remaining: 24h 15m 50s
2025-04-03 04:27:18.965878: Steps: 13000/2000000, FPS: 22.7, Time remaining: 24h 16m 21s
2025-04-03 04:28:03.390794: Steps: 14000/2000000, FPS: 22.7, Time remaining: 24h 16m 40s
2025-04-03 04:28:47.760257: Steps: 15000/2000000, FPS: 22.7, Time remaining: 24h 16m 44s
